"","Scenario_ID","Year","WeeksPerYr.x","HrsPerWeek.x","CI05","CI25","CI50","CI75","CI95","WeeksPerYr.y","HrsPerWeek.y","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","BasicServices",2021,48,32,831.344166666667,855.454166666667,899.505166666667,933.5875,980.305000000001,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"2","BasicServices",2022,48,32,827.799166666666,865.670833333333,917.1495,957.1,1023.73416666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"3","BasicServices",2023,48,32,828.6275,861.983333333334,926.558833333333,970.8375,1046.99583333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"4","BasicServices",2024,48,32,796.0225,874.3875,938.634833333333,991.129166666666,1069.91,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"5","BasicServices",2025,48,32,799.048333333334,882.633333333334,945.8595,1009.29166666667,1074.88583333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"6","BasicServices",2026,48,32,781.241666666667,888.570833333333,953.1695,1021.89583333333,1113.25083333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"7","BasicServices",2027,48,32,768.219166666667,877.254166666666,955.7135,1030.225,1128.77666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"8","BasicServices",2028,48,32,753.0625,882.7875,961.999,1033.69583333333,1138.30833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"9","BasicServices",2029,48,32,755.53,880.745833333333,970.712833333333,1057.1375,1173.98333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"10","BasicServices",2030,48,32,744.649166666667,887.054166666667,978.8495,1067.275,1191.09666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
